case_title,case_title_raw,normalized_title,source_pdf,source_school,source_year,page_start,page_end,page_count,industry,case_type,case_type_raw,case_type_normalized,difficulty,difficulty_raw,difficulty_normalized,difficulty_quant,difficulty_qual,difficulty_math,difficulty_structure,difficulty_creativity,concepts_tested,difficulty_visual_present,difficulty_quant_category,firm,round,interviewer_led,is_new_case,is_duplicate_case,unique_case_count_eligible,canonical_case_title,duplicate_of_source_school,duplicate_of_source_year,duplicate_of_case_title,detection_method,extraction_confidence,needs_manual_review,output_pdf_path,difficulty_score,difficulty_rating,difficulty_rating_source,difficulty_notes,difficulty_source,difficulty_confidence,difficulty_model,industry_secondary,industry_notes,industry_source,industry_confidence,industry_model
Sardine Airlines,Sardine Airlines,sardine airlines,Booth/Fuqua 2026.pdf,Fuqua,2026.0,175,185,11,Transportation & Logistics,Profitability,Profitability,Profitability,,quant=Medium; qual=Medium,Medium,Medium,Medium,,,,,,,,,,False,False,True,Sardine Airlines,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\sardine-airlines.pdf,5.5,Medium,quant+qual_labels,,,,,,,,,
Goodbye Horses,Goodbye Horses,goodbye horses,Booth/Fuqua 2026.pdf,Fuqua,2026.0,186,194,9,Healthcare,Decision Analysis,Decision Analysis,Investment Decision,,quant=Medium; qual=Difficult,Hard,Medium,Difficult,,,,,,,,,,False,False,True,Goodbye Horses,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\goodbye-horses.pdf,6.8,Medium,quant+qual_labels,,,,,,,,,
Scrub Strategy,Scrub Strategy,scrub strategy,Booth/Fuqua 2026.pdf,Fuqua,2026.0,195,204,10,Retail / CPG,Product Launch,Product Launch,New Product,,quant=Difficult; qual=Difficult,Hard,Difficult,Difficult,,,,,,,,,,False,False,True,Scrub Strategy,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\scrub-strategy.pdf,8.0,Hard,quant+qual_labels,,,,,,,,,
Swift Business,Swift Business,swift business,Booth/Fuqua 2026.pdf,Fuqua,2026.0,205,215,11,Media & Entertainment,Market Entry,Market Entry,Market Entry,,quant=Difficult; qual=Difficult,Hard,Difficult,Difficult,,,,,,,,,,False,False,True,Swift Business,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\swift-business.pdf,8.0,Hard,quant+qual_labels,,,,,,,,,
Practice Case 1 (Retailer),Practice Case 1 (Retailer),practice case 1 retailer,Booth/Harvard 2002.pdf,Harvard,2002.0,38,39,2,Retail / CPG,Profitability,Profitability,Profitability,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,practice case 1 retailer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-1-retailer.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
Practice Case 2 (Butcher Shop),Practice Case 2 (Butcher Shop),practice case 2 butcher shop,Booth/Harvard 2002.pdf,Harvard,2002.0,40,42,3,Food & Beverage,Operations,Operations,Operations,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 2 butcher shop,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-2-butcher-shop.pdf,5.5,Medium,difficulty_normalized,,,,,,"The client is a butcher/meat-processing outlet supplying a fast food chain, which fits food production and restaurant supply.",openai_calibrated,0.95,gpt-5.4
Practice Case 3 (Juice Producer),Practice Case 3 (Juice Producer),practice case 3 juice producer,Booth/Harvard 2002.pdf,Harvard,2002.0,43,44,2,Technology,Profitability,Profitability,Profitability,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,practice case 3 juice producer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-3-juice-producer.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
Practice Case 4 (Chemical Manufacturer),Practice Case 4 (Chemical Manufacturer),practice case 4 chemical manufacturer,Booth/Harvard 2002.pdf,Harvard,2002.0,45,46,2,Chemicals & Materials,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 4 chemical manufacturer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-4-chemical-manufacturer.pdf,5.5,Medium,difficulty_normalized,,,,,,"The client is a chemical manufacturer producing food-preservation inputs, which fits chemicals/materials rather than food manufacturing.",openai_calibrated,0.99,gpt-5.4
Practice Case 5 (Viettel),Practice Case 5 (Viettel),practice case 5 viettel,Booth/Harvard 2002.pdf,Harvard,2002.0,47,48,2,Manufacturing,Operations,Operations,Operations,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 5 viettel,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-5-viettel.pdf,5.5,Medium,difficulty_normalized,,,,,,"The client is a tire manufacturer, which fits best under manufacturing/industrials.",openai_calibrated,0.98,gpt-5.4
Practice Case 6 (World View),Practice Case 6 (World View),practice case 6 world view,Booth/Harvard 2002.pdf,Harvard,2002.0,49,50,2,Telecom,Growth,Growth,Growth Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 6 world view,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-6-world-view.pdf,5.5,Medium,difficulty_normalized,,,,,,"The client is a cable TV company, which fits the telecom/carrier bucket rather than media.",openai_calibrated,0.96,gpt-5.4
Practice Case 7 (Le Seine),Practice Case 7 (Le Seine),practice case 7 le seine,Booth/Harvard 2002.pdf,Harvard,2002.0,51,52,2,Retail / CPG,Growth,Growth,Growth Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 7 le seine,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-7-le-seine.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 8 (Beer Brew),Practice Case 8 (Beer Brew),practice case 8 beer brew,Booth/Harvard 2002.pdf,Harvard,2002.0,53,54,2,Retail / CPG,Pricing,Pricing,Pricing,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 8 beer brew,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-8-beer-brew.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 9 (Wheeler Dealer),Practice Case 9 (Wheeler Dealer),practice case 9 wheeler dealer,Booth/Harvard 2002.pdf,Harvard,2002.0,55,56,2,Retail / CPG,Growth,Growth,Growth Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 9 wheeler dealer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-9-wheeler-dealer.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 10 (Travel Agency),Practice Case 10 (Travel Agency),practice case 10 travel agency,Booth/Harvard 2002.pdf,Harvard,2002.0,57,58,2,Hospitality & Travel,Profitability,Profitability,Profitability,Easy,Easy,Easy,,,,,,,,,,,,False,False,True,practice case 10 travel agency,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-10-travel-agency.pdf,3.5,Easy,difficulty_normalized,,,,,,"The client is a travel agency serving business and leisure travelers, which fits travel services.",openai_calibrated,0.98,gpt-5.4
Practice Case 11 (Hospital),Practice Case 11 (Hospital),practice case 11 hospital,Booth/Harvard 2002.pdf,Harvard,2002.0,59,61,3,Healthcare,Profitability,Profitability,Profitability,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,practice case 11 hospital,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-11-hospital.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Practice Case 12 (E-Grocery),Practice Case 12 (E-Grocery),practice case 12 e grocery,Booth/Harvard 2002.pdf,Harvard,2002.0,62,64,3,Retail / CPG,Market Entry,Market Entry,Market Entry,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 12 e grocery,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-12-e-grocery.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 13 (Formula Producer),Practice Case 13 (Formula Producer),practice case 13 formula producer,Booth/Harvard 2002.pdf,Harvard,2002.0,65,67,3,Retail / CPG,Profitability,Profitability,Profitability,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,practice case 13 formula producer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-13-formula-producer.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Practice Case 14 (Pharmaceutical Company),Practice Case 14 (Pharmaceutical Company),practice case 14 pharmaceutical company,Booth/Harvard 2002.pdf,Harvard,2002.0,68,73,6,Healthcare,Profitability,Profitability,Profitability,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,practice case 14 pharmaceutical company,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-14-pharmaceutical-company.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Practice Case 15 (Scotch Manufacturer),Practice Case 15 (Scotch Manufacturer),practice case 15 scotch manufacturer,Booth/Harvard 2002.pdf,Harvard,2002.0,74,82,9,Food & Beverage,Profitability,Profitability,Profitability,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,practice case 15 scotch manufacturer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-15-scotch-manufacturer.pdf,8.5,Hard,difficulty_normalized,,,,,,"The client is a distilled spirits manufacturer and marketer, which fits alcoholic beverages within Food & Beverage.",openai_calibrated,0.99,gpt-5.4
Practice Case 16 (Regional Jet Corporation),Practice Case 16 (Regional Jet Corporation),practice case 16 regional jet corporation,Booth/Harvard 2002.pdf,Harvard,2002.0,83,90,8,Aerospace & Defense,Profitability,Profitability,Profitability,Hard,Hard,Hard,,,,,,,,,,,,False,False,True,practice case 16 regional jet corporation,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-16-regional-jet-corporation.pdf,8.5,Hard,difficulty_normalized,,,,,,"The client is a manufacturer of regional aircraft, which fits aerospace manufacturing rather than airlines or general transportation.",openai_calibrated,0.98,gpt-5.4
Practice Case 17 (British Times),Practice Case 17 (British Times),practice case 17 british times,Booth/Harvard 2002.pdf,Harvard,2002.0,91,94,4,Financial Services,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 17 british times,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-17-british-times.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 18 (Children Clothes E-Retailer),Practice Case 18 (Children Clothes E-Retailer),practice case 18 children clothes e retailer,Booth/Harvard 2002.pdf,Harvard,2002.0,95,99,5,Retail / CPG,Growth,Growth,Growth Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 18 children clothes e retailer,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-18-children-clothes-e-retailer.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 19 (Consumer Products),Practice Case 19 (Consumer Products),practice case 19 consumer products,Booth/Harvard 2002.pdf,Harvard,2002.0,100,101,2,Retail / CPG,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 19 consumer products,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-19-consumer-products.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Practice Case 20 (The Video Store),Practice Case 20 (The Video Store),practice case 20 the video store,Booth/Harvard 2002.pdf,Harvard,2002.0,102,105,4,Technology,Growth,Growth,Growth Strategy,Medium,Medium,Medium,,,,,,,,,,,,False,False,True,practice case 20 the video store,,,,manual_override_harvard_2002,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Harvard 2002\practice-case-20-the-video-store.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
